FAM_0001;REF
HALDEX  ;032006509                
HALDEX  ;032006609                
HALDEX  ;032006809                
HALDEX  ;032006909                
HALDEX  ;032007309                
HALDEX  ;032007409                
HALDEX  ;032007509                
HALDEX  ;032007609                
HALDEX  ;032008109                
HALDEX  ;032008209                
HALDEX  ;032008309                
HALDEX  ;032008409                
HALDEX  ;032008809                
HALDEX  ;032008909                
HALDEX  ;032009109                
HALDEX  ;032009209                
HALDEX  ;032009509                
HALDEX  ;032009609                
HALDEX  ;032009709                
HALDEX  ;032009809                
HALDEX  ;032010009                
HALDEX  ;032010109                
HALDEX  ;032010209                
HALDEX  ;032010809                
HALDEX  ;032010909                
HALDEX  ;032011009                
HALDEX  ;032011209                
HALDEX  ;032011509                
HALDEX  ;032011709                
HALDEX  ;032011909                
HALDEX  ;032012109                
HALDEX  ;032012509                
HALDEX  ;032013009                
HALDEX  ;032013709                
HALDEX  ;032013809                
HALDEX  ;032013909                
HALDEX  ;032014009                
HALDEX  ;032014109                
HALDEX  ;032014909                
HALDEX  ;032015109                
HALDEX  ;032015209                
HALDEX  ;032015509                
HALDEX  ;032015809                
HALDEX  ;032016209                
HALDEX  ;032016409                
HALDEX  ;032016709                
HALDEX  ;032016809                
HALDEX  ;032016909                
HALDEX  ;032017009                
HALDEX  ;032017309                
HALDEX  ;032017509A               
HALDEX  ;032017709                
HALDEX  ;032018009                
HALDEX  ;032018209                
HALDEX  ;032018309                
HALDEX  ;032018409                
HALDEX  ;032018509                
HALDEX  ;032018609                
HALDEX  ;032018809                
HALDEX  ;032018909                
HALDEX  ;032019009                
HALDEX  ;032019209                
HALDEX  ;032019309                
HALDEX  ;032019809                
HALDEX  ;032019909                
HALDEX  ;032020009                
HALDEX  ;032020109                
HALDEX  ;032020509                
HALDEX  ;032020609                
HALDEX  ;032020709                
HALDEX  ;032020809                
HALDEX  ;032021009                
HALDEX  ;032021209                
HALDEX  ;032021309                
HALDEX  ;032021409                
HALDEX  ;0320215160RTC            
HALDEX  ;032021609                
HALDEX  ;032021709                
HALDEX  ;032021809                
HALDEX  ;032022309                
HALDEX  ;032022409                
HALDEX  ;032022509                
HALDEX  ;032022609                
HALDEX  ;032022709                
HALDEX  ;032022809                
HALDEX  ;032022909                
HALDEX  ;032023309                
HALDEX  ;032023509                
HALDEX  ;032023609                
HALDEX  ;032023709                
HALDEX  ;032024009                
HALDEX  ;032024019                
HALDEX  ;032024109                
HALDEX  ;032024209                
HALDEX  ;032024309                
HALDEX  ;032024409                
HALDEX  ;032024509                
HALDEX  ;032025009                
HALDEX  ;032025309                
HALDEX  ;032025409                
HALDEX  ;032025509                
HALDEX  ;032025609                
HALDEX  ;032026109                
HALDEX  ;032026409                
